Dist.Code,Sh_Dist_code,FID_1,State,AgroClimate,District,Year,RICE.AREA..1000.ha.,RICE.PRODUCTION..1000.tons.,RICE.YIELD..Kg.per.ha.,RICE.SHARE.IN.TOTAL..Percent.,Crops,IMD_RF,IMD_Tmax,SD_RF_jun_nov
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,1990,397.9,481.4,1210,52.49,Rice,1440.47523,30.75097036,13.0910217
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,1991,393.2,508.6,1293,51.85,Rice,1037.77155,31.71220605,12.79994917
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,1992,398.4,514.5,1291,52.39,Rice,1135.394333,32.6580294,15.60192529
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,1993,410.2,569.1,1387,51.51,Rice,1133.654012,32.10957289,13.99816871
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,1994,430.1,601.7,1399,52.56,Rice,1646.387207,30.71879323,18.79558897
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,1995,424,639.1,1507,51.87,Rice,1031.647283,32.36670717,13.47188234
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,1996,407.1,605.1,1486,50.63,Rice,1003.521306,31.83578587,14.17617639
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,1997,432.8,547.4,1265,54.54,Rice,1108.783396,32.22124386,13.45033129
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,1998,411.9,354,859,56.36,Rice,991.2270915,31.92984295,10.36740526
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,1999,457.94,601.91,1314,57.77,Rice,1110.323181,31.14603297,12.08445001
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2000,435.3,224.17,515,68.62,Rice,795.8075053,32.07000955,10.16396459
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2001,436.81,605.17,1385,58.97,Rice,1352.298421,31.71148221,16.63959185
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2002,432.9,233.41,539,62.39,Rice,886.5318553,32.27362521,12.54474974
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2003,442.75,716.38,1618,57.86,Rice,1594.59373,31.69161812,15.09334008
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2004,449.64,633.54,1409,56.16,Rice,867.787852,31.91543166,12.12282205
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2005,449.64,633.54,1409,55.52,Rice,1174.175527,31.59541035,14.68615548
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2006,453.54,746.24,1645,55.93,Rice,1067.334371,31.6423041,16.95030554
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2007,465.33,730.87,1571,56.8,Rice,1179.68247,31.73691861,15.13197343
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2008,464.62,420.86,906,59.98,Rice,893.8659922,31.85411755,10.89848983
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2009,451.26,355.75,788,59.83,Rice,1032.906733,32.72905842,17.81857459
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2010,454.8,807.15,1775,56.92,Rice,1073.578847,32.27322451,13.65133349
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2011,462.12,847.98,1839,45.80333333,Rice,1165.01091,32.06080643,12.51017062
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2012,461.41,920.15,2008.666667,60.14,Rice,1214.646647,31.41993459,14.52846368
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2013,469.33,776.62,1673.666667,60.94666667,Rice,1521.959015,30.48367659,16.18372051
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2014,475.15,865.52,1820,61.78333333,Rice,1227.922923,32.71420097,18.52143653
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2015,473.54,605.59,1288.666667,63.67,Rice,929.0340271,32.63393052,13.38769615
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2016,493.84,1156.26,2383,NA,Rice,1170.0731,31.77398046,12.48191818
1,13043,84,Chhattisgarh,Eastern Plateau and Hill Region,Durg,2017,471.08,593.49,1267,NA,Rice,988.444753,32.04188538,13.02794353
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,1990,579,561.9,970,64.67,Rice,1816.610532,30.84878757,16.90333997
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,1991,582.3,624.3,1072,65.16,Rice,1278.106901,32.23655955,14.01873043
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,1992,584.4,533.3,913,66.18,Rice,1420.489326,32.4860941,18.784336
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,1993,605.3,603.7,997,66.58,Rice,1306.643557,32.10032129,13.62858944
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,1994,609.9,604,990,67.24,Rice,1866.194752,31.03757482,20.05030609
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,1995,619,589.1,952,68.12,Rice,1401.005611,33.16404698,16.52389616
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,1996,644.1,670.5,1041,64.84,Rice,1269.373129,31.99746005,15.54571793
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,1997,622.8,455,731,69.35,Rice,1097.522351,31.9472679,12.08780685
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,1998,627.1,569.8,941,55.66,Rice,1220.710315,31.90524303,12.22338747
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,1999,628.47,676.2,1081.333333,70.36,Rice,1493.658019,31.34053421,15.52086214
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2000,628.03,523.9,834,70.57,Rice,1162.596219,32.60981539,13.77402048
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2001,633.99,922.15,1462,71.47666667,Rice,1613.819728,31.7945439,19.33834343
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2002,623.9,331.38,536,72.76333333,Rice,955.390365,32.28251653,12.02153435
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2003,632.58,1042.75,1666,71.51666667,Rice,1637.351504,31.97775205,15.7609905
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2004,635.47,788.65,1258.333333,71.80333333,Rice,1203.158193,32.25301388,14.84144442
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2005,635.47,788.65,1258.333333,72.61,Rice,1270.449993,32.31779104,14.41553978
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2006,546.54,836.54,1590.333333,64.59666667,Rice,1800.399889,31.58838516,25.34088601
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2007,626.07,927.73,1460.6,75.392,Rice,1551.581957,32.27510993,17.99739055
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2008,627.78,729.33,1169.2,75.736,Rice,1155.7918,32.1391067,12.1505746
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2009,626.66,682.46,1074.6,76.138,Rice,918.7404751,32.61579577,11.95633713
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2010,621.89,1184.98,1736,69.416,Rice,1577.132555,32.42019977,18.45356683
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2011,627.73,772.88,1224.285714,66.38714286,Rice,1150.574276,32.20824766,12.27452194
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2012,637.8,1341.33,2001.714286,75.35857143,Rice,1558.890089,32.06206237,14.69890957
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2013,642.79,1265.91,1875.714286,75.90714286,Rice,1557.349078,30.68000152,16.13472156
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2014,646.7,1377.04,2021.857143,76.24285714,Rice,1312.69582,33.33391751,17.29674408
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2015,644.56,664.46,970.2857143,77.14285714,Rice,1268.561547,33.22608725,16.6306516
2,13045,82,Chhattisgarh,Eastern Plateau and Hill Region,Bastar,2016,656.28,1294.97,1862.714286,NA,Rice,1516.268625,31.68325965,14.85720913
